Category,Detail,Cost,Date,Month_period,WeekofYear,DayofWeek,Day_of_Week_Category,Month
Eating Out,Burger,15.85,2023-02-16,Jan - Feb 23,7,3,Weekday,2
Travel,Flights,181.49,2023-02-19,Jan - Feb 23,7,6,Weekend,2
Eating Out,OJ,4.2,2023-02-19,Jan - Feb 23,7,6,Weekend,2
Transport,Oslo ticket,30.72,2023-02-20,Jan - Feb 23,8,0,Weekday,2
Groceries,Groceries,27.14,2023-02-20,Jan - Feb 23,8,0,Weekday,2
Groceries,Groceries,4.07,2023-02-20,Jan - Feb 23,8,0,Weekday,2
Eating Out,Lunch,1.92,2023-02-20,Jan - Feb 23,8,0,Weekday,2
Shopping,Ikea,74.78,2023-02-21,Jan - Feb 23,8,1,Weekday,2
Eating Out,Ikea,9.59,2023-02-21,Jan - Feb 23,8,1,Weekday,2
Shopping,Furniture,147.48,2023-02-21,Jan - Feb 23,8,1,Weekday,2
Groceries,Groceries,8.26,2023-02-21,Jan - Feb 23,8,1,Weekday,2
Groceries,Groceries,27.25,2023-02-22,Jan - Feb 23,8,2,Weekday,2
Groceries,Groceries,13.69,2023-02-23,Jan - Feb 23,8,3,Weekday,2
Rent + Bills,Phone Norway,4.5,2023-02-24,Jan - Feb 23,8,4,Weekday,2
Eating Out,Coffee,4.31,2023-02-24,Jan - Feb 23,8,4,Weekday,2
