Category,Detail,Cost,Date
Shopping,Shoes + jacket,€100.00,25-Sep-2022
Groceries,Groceries,€40.00,26-Sep-2022
Eating Out,Lunch,€10.00,27-Sep-2022
Groceries,Groceries,€8.69,28-Sep-2022
Transport,BVG extension ticket ,€1.80,28-Sep-2022
Travel,Copenhagen,€143.00,2-Oct-2022
Transport,BVG from airport,€4.15,2-Oct-2022
Groceries,Groceries,€54.87,5-Oct-2022
Travel,Flight back from BCN,€46.99,5-Oct-2022
Transport,Train to Stratford,€10.50,5-Oct-2022
Transport,Bus to airport,€11.47,5-Oct-2022
Shopping,iPhone case,€11.36,6-Oct-2022
Eating Out,Drinks,€15.30,7-Oct-2022
Eating Out,Burger,€10.00,7-Oct-2022
Shopping,Market,€30.00,8-Oct-2022
Groceries,Groceries,€26.34,8-Oct-2022
Groceries,Groceries,€14.11,8-Oct-2022
Eating Out,Lunch,€14.50,11-Oct-2022
Groceries,Groceries,€24.85,12-Oct-2022
Transport,Airport BVG,€3.45,13-Oct-2022
Shopping,Sweater,€39.90,14-Oct-2022
Shopping,Eyebrows + cash,€11.50,15-Oct-2022
Groceries,Groceries,€3.16,15-Oct-2022
Transport,Train,€1.80,19-Oct-2022
Eating Out,Boots meal deal,€5.84,19-Oct-2022
Investment,Weekly ETH,€10.00,24-Oct-2022
Healthcare,Pharmacy,€15.44,20-Oct-2022
Groceries,Groceries,€43.34,20-Oct-2022
Groceries,Groceries,€8.06,21-Oct-2022
Groceries,Groceries,€28.72,22-Oct-2022
Rent + Bills,Legal Insurance,€7.90,24-Oct-2022
Rent + Bills,Rent,€500.00,1-Nov-2022
Rent + Bills,Phone,€25.19,12-Nov-2022
Rent + Bills,Google,€1.88,4-Nov-2022
Rent + Bills,Personal Liability Insurance,€4.94,1-Nov-2022
Student Loan,Student Loan,€86.40,10-Nov-2022
Transport,BVG,€28.58,1-Nov-2022
Rent + Bills,UK Phone,€10.00,13-Nov-2022
Rent + Bills,Legal Insurance,€35.00,1-Nov-2022
Eating Out,Lunch,€6.00,25-Oct-2022
Eating Out,Lunch,€10.00,26-Oct-2022
Transport,Train to airport ,€3.80,27-Oct-2022
Transport,Train to airport ,€1.80,30-Oct-2022
Transport,Train to potsdam,€7.60,2-Nov-2022
Eating Out,Lunch in Potsdam,€14.25,2-Nov-2022
Groceries,Supermarket,€1.72,2-Nov-2022
Eating Out,Bubble Tea Ido,€5.10,4-Nov-2022
Eating Out,"Drinks, Dinner, Comedy",€42.80,4-Nov-2022
Eating Out,Bunker tour Mom visit,€28.00,4-Nov-2022
Groceries,Groceries,€23.59,6-Nov-2022
Eating Out,Snack,€1.00,8-Nov-2022
Eating Out,Drinks with mom,€10.00,8-Nov-2022
Groceries,Groceries,€21.08,10-Nov-2022
Eating Out,Tacos and drinks,€28.30,11-Nov-2022
Groceries,Groceries,€24.66,12-Nov-2022
Eating Out,Cocktail,€6.20,15-Nov-2022
Groceries,Groceries,€11.82,17-Nov-2022
Groceries,Groceries,€7.34,18-Nov-2022
Rent + Bills,Tape,€3.19,18-Nov-2022
Rent + Bills,Car,€25.00,18-Nov-2022
Transport,Train airport,€1.80,20-Nov-2022
Eating Out,Sandwich,€7.95,21-Nov-2022
Transport,Train Tonya,€8.00,21-Nov-2022
Shopping,Wax,€22.00,22-Nov-2022
Healthcare,Pill,€10.00,22-Nov-2022
Groceries,Groceries,€6.65,22-Nov-2022
Transport,Metro,€7.95,22-Nov-2022
Groceries,Groceries,€2.49,23-Nov-2022
Eating Out,Andreu,€23.85,24-Nov-2022
Shopping,Books,€5.00,24-Nov-2022
Eating Out,Lunch,€15.38,25-Nov-2022
Rent + Bills,Phone,€27.60,12-Nov-2022
Rent + Bills,Google,€1.88,4-Dec-2022
Rent + Bills,Personal Liability Insurance,€4.94,1-Dec-2022
Student Loan,Student Loan,€86.40,10-Dec-2022
Transport,BVG,€28.58,1-Dec-2022
Rent + Bills,UK Phone,€10.00,13-Dec-2022
Rent + Bills,Legal Insurance,€35.00,1-Dec-2022
Shopping,Clothes,€49.59,25-Nov-2022
Groceries,Groceries,€22.29,26-Nov-2022
Groceries,Groceries,€31.85,26-Nov-2022
Transport,Metro BCN,€7.95,26-Nov-2022
Eating Out,McDs,€5.50,28-Nov-2022
Groceries,Groceries,€23.05,28-Nov-2022
Groceries,Groceries,€39.01,29-Nov-2022
Healthcare,Pill,€49.97,29-Nov-2022
Transport,Airport train,€1.80,30-Nov-2022
Groceries,Groceries,€17.51,3-Dec-2022
Eating Out,Comedy,€10.00,3-Dec-2022
Groceries,Groceries,€48.60,6-Dec-2022
Eating Out,Christmas market,€10.00,7-Dec-2022
Eating Out,Bubble tea and Indian,€15.80,8-Dec-2022
Eating Out,Coffee,€2.80,9-Dec-2022
Groceries,Groceries,€12.52,9-Dec-2022
Eating Out,Ikea Lunch,€6.95,10-Dec-2022
Shopping,Ikea things,€6.26,10-Dec-2022
Groceries,Groceries,€11.46,10-Dec-2022
Eating Out,Brunch,€12.00,11-Dec-2022
Eating Out,Glühwein,€7.50,11-Dec-2022
Eating Out,Lunch,€16.00,12-Dec-2022
Rent + Bills,Printing,€9.16,12-Dec-2022
Groceries,Groceries ,€28.95,14-Dec-2022
Shopping,Christmas presents + shoes,€126.91,15-Dec-2022
Eating Out,Lunch,€10.00,16-Dec-2022
Groceries,Groceries,€8.70,17-Dec-2022
Groceries,Groceries,€16.68,17-Dec-2022
Rent + Bills,Rent,€500.00,1-Dec-2022
Rent + Bills,Car,€20.15,21-Dec-2022
Transport,BVG,€1.80,22-Dec-2022
Eating Out,McD,€4.79,23-Dec-2022
Transport,BVG Airport,€1.80,23-Dec-2022
Groceries,Toogoodtogo,€3.50,23-Dec-2022
Groceries,Xmas food,€23.51,23-Dec-2022
Shopping,Xmas presents,€27.55,24-Dec-2022
Rent + Bills,Phone,€25.00,25-Dec-2022
Rent + Bills,Google,€1.88,4-Jan-2023
Rent + Bills,Personal Liability Insurance,€4.94,1-Jan-2023
Student Loan,Student Loan,€82.95,10-Jan-2023
Rent + Bills,UK Phone,€14.68,13-Jan-2023
Rent + Bills,Legal Insurance,€35.00,1-Jan-2023
Shopping,Xmas presents,€18.53,25-Dec-2022
Eating Out,Beers,€10.00,25-Dec-2022
Hobbies,Pádel,€14.00,26-Dec-2022
Hobbies,Cards,€5.00,26-Dec-2022
Hobbies,Norwegian,€18.82,27-Dec-2022
Groceries,Groceries,€4.02,27-Dec-2022
Rent + Bills,Rent,€500.00,1-Jan-2023
Groceries,Groceries,€7.50,3-Jan-2023
Groceries,Groceries,€4.66,8-Jan-2023
Selfcare,Douglas,€32.76,11-Jan-2023
Selfcare,PromoFarma,€52.36,11-Jan-2023
Selfcare,Haircut,€24.00,13-Jan-2023
Rent + Bills,Ethernet,€5.00,13-Jan-2023
Groceries,Bread,€3.17,14-Jan-2023
Groceries,Vegetables,€4.50,14-Jan-2023
Hobbies,Crossfit,€35.00,19-Jan-2023
Selfcare,Waxing,€39.00,20-Jan-2023
Healthcare,Medicine,€3.62,20-Jan-2023
Groceries,Groceries,€14.25,20-Jan-2023
Transport,Parking,€0.20,21-Jan-2023
Transport,Metro,€22.70,21-Jan-2023
Eating Out,Drinks,€7.00,21-Jan-2023
Groceries,Groceries,€12.15,22-Jan-2023
Eating Out,Churros,€4.00,22-Jan-2023
Shopping,Gift for mom,€24.50,22-Jan-2023
Groceries,Groceries,€11.36,22-Jan-2023
Transport,Fuel,€20.01,22-Jan-2023
Transport,Fuel,€79.86,23-Jan-2023
Selfcare,Druni,€36.05,23-Jan-2023
Rent + Bills,Phone,€25.00,25-Jan-2023
Rent + Bills,Google,€1.88,4-Feb-2023
Rent + Bills,Personal Liability Insurance,€4.94,1-Feb-2023
Student Loan,Student Loan,€82.43,10-Feb-2023
Rent + Bills,UK Phone,€10.00,13-Feb-2023
Rent + Bills,Legal Insurance,€35.00,1-Feb-2023
Hobbies,Norwegian,€18.82,27-Jan-2023
Groceries,Groceries,€29.45,25-Jan-2023
Shopping,Chino,€5.70,25-Jan-2023
Travel,Flights,€33.98,27-Jan-2023
Travel,Flights,€40.65,27-Jan-2023
Groceries,Bread,€4.18,27-Jan-2023
Transport,Car wash,€9.95,27-Jan-2023
Healthcare,Pharmacy,€13.52,27-Jan-2023
Shopping,IKEA,€60.00,29-Jan-2023
Shopping,Decathlon,€15.97,29-Jan-2023
Groceries,Groceries,€18.96,31-Jan-2023
Shopping,IKEA,€29.91,1-Feb-2023
Shopping,IKEA,€5.49,1-Feb-2023
Shopping,Hollister,€17.28,1-Feb-2023
Shopping,Druni,€21.15,1-Feb-2023
Eating Out,Morrysom,€25.70,1-Feb-2023
Eating Out,McDonald's,€6.10,1-Feb-2023
Transport,Car,€79.41,2-Feb-2023
Healthcare,Pill,€53.59,2-Feb-2023
Shopping,Bonet,€25.50,2-Feb-2023
Shopping,Boots,€69.00,2-Feb-2023
Groceries,Bread,€1.44,2-Feb-2023
Travel,Girona Lockers,€8.00,3-Feb-2023
Eating Out,Lunch,€32.00,3-Feb-2023
Travel,Train,€26.50,3-Feb-2023
Groceries,Groceries,€8.94,3-Feb-2023
Shopping,Amarula,€15.70,4-Feb-2023
Transport,Oslo ticket,€30.19,6-Feb-2023
Transport,Oslo ticket,€30.50,13-Feb-2023
Groceries,Groceries,€10.00,11-Feb-2023
Shopping,Vday gift,€4.39,14-Feb-2023
Groceries,Granola,€2.51,14-Feb-2023
Rent + Bills,Deutsche Post,€30.90,16-Feb-2023
Shopping,Vday gift,€17.41,14-Feb-2023
Eating Out,Beer,€7.29,19-Feb-2023
Groceries,Toiletries,€22.05,18-Feb-2023
Groceries,Cleaning materials,€46.83,18-Feb-2023
Eating Out,Burger,€15.85,16-Feb-2023
Travel,Flights,€181.49,19-Feb-2023
Eating Out,OJ,€4.20,19-Feb-2023
Transport,Oslo ticket,€30.72,20-Feb-2023
Groceries,Groceries,€27.14,20-Feb-2023
Groceries,Groceries,€4.07,20-Feb-2023
Eating Out,Lunch,€1.92,20-Feb-2023
Shopping,Ikea,€74.78,21-Feb-2023
Eating Out,Ikea,€9.59,21-Feb-2023
Shopping,Furniture,€147.48,21-Feb-2023
Groceries,Groceries,€8.26,21-Feb-2023
Groceries,Groceries,€27.25,22-Feb-2023
Groceries,Groceries,€13.69,23-Feb-2023
Rent + Bills,Phone Norway,€4.50,24-Feb-2023
Eating Out,Coffee,€4.31,24-Feb-2023
