Date,WeekofYear,DayofWeek,Category,Cost
2022-11-18,46,4,Rent + Bills,28.19
2022-11-20,46,6,Transport,1.8
2022-11-21,47,0,Eating Out,7.95
2022-11-21,47,0,Transport,8.0
2022-11-22,47,1,Groceries,6.65
2022-11-22,47,1,Healthcare,10.0
2022-11-22,47,1,Shopping,22.0
2022-11-22,47,1,Transport,7.95
2022-11-23,47,2,Groceries,2.49
2022-11-24,47,3,Eating Out,23.85
2022-11-24,47,3,Shopping,5.0
2022-11-25,47,4,Eating Out,15.38
2022-11-25,47,4,Shopping,49.59
2022-11-26,47,5,Groceries,54.14
2022-11-26,47,5,Transport,7.95
2022-11-28,48,0,Eating Out,5.5
2022-11-28,48,0,Groceries,23.05
2022-11-29,48,1,Groceries,39.01
2022-11-29,48,1,Healthcare,49.97
2022-11-30,48,2,Transport,1.8
2022-12-01,48,3,Rent + Bills,539.94
2022-12-01,48,3,Transport,28.58
2022-12-03,48,5,Eating Out,10.0
2022-12-03,48,5,Groceries,17.51
2022-12-04,48,6,Rent + Bills,1.88
2022-12-06,49,1,Groceries,48.6
2022-12-07,49,2,Eating Out,10.0
2022-12-08,49,3,Eating Out,15.8
2022-12-09,49,4,Eating Out,2.8
2022-12-09,49,4,Groceries,12.52
2022-12-10,49,5,Eating Out,6.95
2022-12-10,49,5,Groceries,11.46
2022-12-10,49,5,Shopping,6.26
2022-12-10,49,5,Student Loan,86.4
2022-12-11,49,6,Eating Out,19.5
2022-12-12,50,0,Eating Out,16.0
2022-12-12,50,0,Rent + Bills,9.16
2022-12-13,50,1,Rent + Bills,10.0
2022-12-14,50,2,Groceries,28.95
2022-12-15,50,3,Shopping,126.91
2022-12-16,50,4,Eating Out,10.0
2022-12-17,50,5,Groceries,25.38
2022-12-21,51,2,Rent + Bills,20.15
2022-12-22,51,3,Transport,1.8
2022-12-23,51,4,Eating Out,4.79
2022-12-23,51,4,Groceries,27.01
2022-12-23,51,4,Transport,1.8
2022-12-24,51,5,Shopping,27.55
2022-12-25,51,6,Eating Out,10.0
2022-12-25,51,6,Rent + Bills,25.0
2022-12-25,51,6,Shopping,18.53
2022-12-26,52,0,Hobbies,19.0
2022-12-27,52,1,Groceries,4.02
2022-12-27,52,1,Hobbies,18.82
2023-01-01,52,6,Rent + Bills,539.94
2023-01-03,1,1,Groceries,7.5
2023-01-04,1,2,Rent + Bills,1.88
2023-01-08,1,6,Groceries,4.66
2023-01-10,2,1,Student Loan,82.95
2023-01-11,2,2,Selfcare,85.12
2023-01-13,2,4,Rent + Bills,19.68
2023-01-13,2,4,Selfcare,24.0
2023-01-14,2,5,Groceries,7.67
2023-01-19,3,3,Hobbies,35.0
